9 1000000 2 187.13-1.5473e-06i 103.51-4.6055e-07i
18 1000000 2 9.8415 24.436
27 1000000 2 9.8576 24.572
36 1000000 2 9.863 24.618
45 1000000 2 9.8654 24.638
54 1000000 2 9.8667 24.649
63 1000000 2 9.8675 24.656
72 1000000 2 9.868 24.66
81 1000000 2 9.8683 24.663
90 1000000 2 9.8686 24.665
99 1000000 2 9.8688 24.667
108 1000000 2 9.8689 24.668
117 1000000 2 9.869 24.669
126 1000000 2 9.8691 24.67
135 1000000 2 9.8692 24.67
144 1000000 2 9.8692 24.671
153 1000000 2 9.8693 24.671
162 1000000 2 9.8693 24.671
171 1000000 2 9.8693 24.672
180 1000000 2 9.8694 24.672
189 1000000 2 9.8694 24.672
198 1000000 2 9.8694 24.672
207 1000000 2 9.8694 24.672
216 1000000 2 9.8694 24.673
225 1000000 2 9.8694 24.673
234 1000000 2 9.8695 24.673
243 1000000 2 9.8695 24.673
